"";"";"";"";F;2012/06/29;""
"411C";"17";"History of malignancy w/o endoscopy w cc";"History of malignancy w/o endoscopy w cc";F;2010/03/08;"411C"
"411N";"17";"History of malignancy w/o endoscopy w/o cc";"History of malignancy w/o endoscopy w/o cc";T;2010/03/08;"411N"
"411X";"17";"History of malignancy w/o endoscopy";"History of malignancy w/o endoscopy";F;1996/12/31;"411"
"412X";"17";"History of malignancy w endocsopy";"History of malignancy w endocsopy";F;1996/12/31;"412"
"413C";"17";"Other myeloprolif dis of poorly diff neopl diag w cc";"Other myeloprolif dis of poorly diff neopl diag w cc";F;2010/03/08;"413C"
"413M";"17";"Other myeloprolif dis of poorly diff neopl diag w mcc";"Other myeloprolif dis of poorly diff neopl diag w mcc";F;2010/03/08;"413M"
"413X";"17";"Other myeloprolif dis of poorly diff neopl diag w cc";"Other myeloprolif dis of poorly diff neopl diag w cc";T;1996/12/31;"413"
"414X";"17";"Other myeloprolif dis of poorly diff neopl diag w/o cc";"Other myeloprolif dis of poorly diff neopl diag w/o cc";T;1996/12/31;"414"
"415C";"18";"Procedure for infectious & parasitic diseases w cc";"Procedure for infectious & parasitic diseases w cc";F;2010/03/08;"415C"
"415M";"18";"Procedure for infectious & parasitic diseases w mcc";"Procedure for infectious & parasitic diseases w mcc";F;2010/03/08;"415M"
"415N";"18";"Procedure for infectious & parasitic diseases";"Procedure for infectious & parasitic diseases";F;2010/03/08;"415N"
"415O";"18";"Procedure for infectious & parasitic diseases, short therapy";"Procedure for infectious & parasitic diseases, short therapy";T;2003/05/25;"415O"
"415X";"18";"Procedure for infectious & parasitic diseases";"Procedure for infectious & parasitic diseases";T;1996/12/31;"415"
"416C";"18";"Septicemia age > 17 w cc";"Septicemia age > 17 w cc";F;2010/05/12;"416C"
"416M";"18";"Septicemia age > 17 w mcc";"Septicemiaage > 17  w mcc";F;2010/05/12;"416M"
"416N";"18";"Septicemia age > 17 w/o cc";"Septicemia age > 17 w/o cc";T;2010/03/08;"416N"
"416X";"18";"Septicemia age > 17";"Septicemia age > 17";F;1996/12/31;"416"
"417C";"18";"Septicemia age  0-17 w cc";"Septicemia age  0-17 w cc";F;2010/05/12;"417C"
"417N";"18";"Septicemia age  0-17 w/o cc";"Septicemia age 0-17 w/o cc";T;2010/05/12;"417N"
"417X";"18";"Septicemia age 0-17";"Septicemia age 0-17";F;1996/12/31;"417"
"418C";"18";"Postoperative & post-traumatic infections w cc";"Postoperative & post-traumatic infections w cc";F;2010/03/08;"418C"
"418M";"18";"Postoperative & post-traumatic infections w mcc";"Postoperative & post-traumatic infections w mcc";F;2010/03/08;"418M"
"418N";"18";"Postoperative & post-traumatic infections";"Postoperative & post-traumatic infections";F;2010/03/08;"418N"
"418X";"18";"Postoperative & post-traumatic infections";"Postoperative & post-traumatic infections";T;1996/12/31;"418"
"419X";"18";"Fever of unknown origin age > 17 w cc";"Fever of unknown origin age > 17 w cc";T;1996/12/31;"419"
"420C";"18";"Fever of unknown origin w cc";"Fever of unknown origin w cc";F;2010/03/08;"420C"
"420M";"18";"Fever of unknown origin w mcc";"Fever of unknown origin w mcc";F;2010/03/08;"420M"
"420N";"18";"Fever of unknown origin w/o cc";"Fever of unknown origin w/o cc";F;2010/03/08;"420N"
"420X";"18";"Fever of unknown origin age > 17 w/o cc";"Fever of unknown origin age > 17 w/o cc";T;1996/12/31;"420"
"421C";"18";"Viral illness w cc";"Viral illness w cc";F;2010/03/08;"421C"
"421M";"18";"Viral illness w mcc";"Viral illness w mcc";F;2010/03/08;"421M"
"421N";"18";"Viral illness w/o cc";"Viral illness w/o cc";F;2010/03/08;"421N"
"421X";"18";"Viral illness, age >17";"Viral illness, age >17";T;1996/12/31;"421"
"422X";"18";"Viral illness & fever of unknown origin age 0-17";"Viral illness & fever of unknown origin age 0-17";T;1996/12/31;"422"
"423A";"18";"Other infectious & parasitic diseases, age 0-17 yrs";"Other infectious & parasitic diseases, age 0-17 yrs";F;2003/10/10;"423A"
"423B";"18";"Other infectious & parasitic diseases, age >17 yrs";"Other infectious & parasitic diseases, age >17 yrs";F;2003/10/10;"423B"
"423C";"18";"Other infectious & parasitic diseases diagnoses w cc";"Other infectious & parasitic diseases diagnoses w cc";F;2010/03/08;"423C"
"423M";"18";"Other infectious & parasitic diseases diagnoses w mcc";"Other infectious & parasitic diseases diagnoses w mcc";F;2010/03/08;"423M"
"423N";"18";"Other infectious & parasitic diseases diagnoses";"Other infectious & parasitic diseases diagnoses";F;2010/03/08;"423N"
"423X";"18";"Other infectious & parasitic diseases diagnoses";"Other infectious & parasitic diseases diagnoses";T;1996/12/31;"423"
"424N";"19";"O. r. procedure w principal diagnos of mental illness or abuse";"O. r. procedure w principal dx of mental illness or abuse";T;2003/10/09;"424N"
"424O";"19";"O. r. procedure w principal diagnosis of mental illness, short therapy";"O. r. procedure w principal dx of mental illness, sh th";T;2003/05/25;"424O"
"424P";"19";"O. r. procedure w principal diagnosis of mental illness or abuse, short therapy";"O. r. procedure w princ dx of ment illness or abuse, sh th";F;2003/10/09;"424P"
"424X";"19";"O. r. procedure w principal diagnoses of mental illness";"O. r. procedure w principal diagnoses of mental illness";F;1996/12/31;"424"
"425X";"19";"Acute adjust react & disturbances of pychosocial dysfunction";"Acute adjust react & disturbances of pychosocial dysfunction";F;1996/12/31;"425"
"426A";"19";"Bipolar disorders, age <60 yrs";"Bipolar disorders, age <60 yrs";T;2004/04/19;"426A"
"426B";"19";"Bipolar disorders, age >59 yrs";"Bipolar disorders, age >59 yrs";T;2004/04/19;"426B"
"426C";"19";"Other mood disorders, age <60 yrs";"Other mood disorders, age <60 yrs";T;2004/04/19;"426C"
"426D";"19";"Other mood disorders, age >59 yrs";"Other mood disorders, age >59 yrs";T;2004/04/19;"426D"
"427A";"19";"Anxiety disorders";"Anxiety disorders";T;2003/10/09;"427A"
"427B";"19";"Enduring personality changes";"Enduring personality changes";T;2003/10/09;"427B"
"427C";"19";"Acute stress reaction";"Acute stress reaction";T;2003/10/09;"427C"
"427D";"19";"Other neuroses";"Other neuroses";T;2003/10/09;"427D"
"428N";"19";"Disorders of personality";"Disorders of personality";T;2003/10/09;"428N"
"428X";"19";"Disorders of personality & impulse control";"Disorders of personality & impulse control";F;1996/12/31;"428"
"429A";"19";"Organic disturbances w cc";"Organic disturbances w cc";T;2004/10/07;"429A"
"429B";"19";"Organic disturbances w/o cc";"Organic disturbances w/o cc";T;2004/10/07;"429B"
"429C";"19";"Organic disturbances with cc";"Organic disturbances with cc";F;2004/01/18;"429C"
"429X";"19";"Organic disturbances & mental retardation";"Organic disturbances & mental retardation";F;1996/12/31;"429"
"430A";"19";"Schizophrenia, age < 30 yrs";"Schizophrenia, age < 30 yrs";T;2003/10/09;"430A"
"430B";"19";"Schizophrenia, age  30-59 yrs";"Schizophrenia, age  30-59 yrs";T;2003/10/09;"430B"
"430C";"19";"Schizophrenia, > 59 yrs";"Schizophrenia, > 59 yrs";T;2003/10/09;"430C"
"430D";"19";"Chronic non-schizophrenic psychosis";"Chronic non-schizophrenic psychosis";T;2004/04/19;"430D"
"430E";"19";"Short term non-scizophrenic psychosis";"Short term non-scizophrenic psychosis";T;2004/04/19;"430E"
"430F";"19";"Other psychotic syndromes";"Other psychotic syndromes";T;2004/04/19;"430F"
"431A";"19";"Mental retardation";"Mental retardation";T;2004/04/19;"431A"
"431B";"19";"Neuropsychiatric disorders";"Neuropsychiatric disorders";T;2004/04/19;"431B"
"431C";"19";"Other childhood mental disorders";"Other childhood mental disorders";T;2004/04/21;"431C"
"432";"19";"Psychiatric long term patient";"Psychiatric long term patient";F;2004/11/28;"432"
"432A";"19";"Eating disorders";"Eating disorders";T;2004/04/21;"432A"
"432B";"19";"Other specific mental disorders";"Other specific mental disorders";T;2004/04/21;"432B"
"432C";"19";"Other unspecific mental disorders";"Other unspecific mental disorders";T;2004/04/19;"432C"
"432M";"19";"Psychiatric inpatient rehabilitation";"Psychiatric inpatient rehabilitation";T;2008/04/13;"432M"
"432N";"19";"Psychiatric longterm care";"Psychiatric longterm care";T;2008/04/13;"432N"
"433";"20";"Alcohol/drug abuse or dependence, interrupted therapy, age > 17 yrs";"Alcohol/drug abuse or dependence, interrupted therapy, >17";F;2003/10/10;"433"
"433X";"20";"Alcohol/drug abuse or dependence, left against medical advice";"Alcohol/drug abuse or dependence, left against medical advic";F;2001/08/16;"433"
"434N";"19";"Abuse psychosis";"Abuse psychosis";F;2010/05/23;"434N"
"434X";"20";"Alcohol/drug abuse or dependance, detoxification or other symptomatic treatment w cc";"Alcohol/drug abuse or dependance, detoxification or other sy";F;2001/08/16;"434"
"435X";"20";"Alcohol/drug abuse or dependance, detoxification or other symptomatic treatment w/o cc";"Alcohol/drug abuse or dependance, detoxification or other sy";F;2001/08/16;"435"
"436A";"19";"Other abuse disorders with cc";"Other abuse disorders with cc";T;2004/04/21;"436A"
"436B";"19";"Other abuse disorders w/o cc";"Other abuse disorders w/o cc";T;2004/04/19;"436B"
"436C";"19";"Abuse psychosis";"Abuse psychosis";T;2004/04/19;"436C"
"436E";"20";"Other abuse disorders w/o cc, age 0-17 yrs";"Other abuse disorders w/o cc, age 0-17 yrs";F;2004/04/19;"436E"
"436M";"19";"Other abuse disorders with mcc";"Other abuse disorders with mcc";F;2010/03/08;"436M"
"436N";"19";"Other abuse disorders w/o cc";"Other abuse disorders w/o cc";F;2010/03/08;"436N"
"436X";"20";"Alcohol/drug dependence w rehabilitation therapy";"Alcohol/drug dependence w rehabilitation therapy";F;2001/08/16;"436"
"437X";"20";"Alcohol/drug dependence combined rehabilitation & detoxfication therapy";"Alcohol/drug dependence combined rehabilitation & detoxficat";F;2001/08/16;"437"
"439O";"21";"Skin graft for injuries, short therapy";"Skin graft for injuries, short therapy";T;2003/05/26;"439O"
"439X";"21";"Skin grafts for injuries";"Skin grafts for injuries";T;1996/12/31;"439"
"440O";"21";"Wound debridement for injuries, short therapy";"Wound debridement for injuries, sh th";F;2003/06/25;"440O"
"440X";"21";"Wound debriments for injuries";"Wound debriments for injuries";F;1996/12/31;"440"
"441FA";"21";"Other hand procedures for injuries";"Other hand procedures for injuries";F;2007/11/14;"441FA"
"441FB";"21";"Replantation or reconstruction of hand because of trauma";"Replantation or reconstruction of hand because of trauma";F;2003/09/11;"441FB"
"441NA";"21";"Other hand procedures for injuries";"Other hand procedures for injuries";F;2008/02/19;"441A"
"441NB";"21";"Replantation procedures for hand injury";"Replantation procedures for hand injury";F;2007/11/14;"441B"
"441O";"21";"Hand procedures for injuries, short therapy";"Hand procedures for injuries, short therapy";T;2003/05/26;"441O"
"441X";"21";"Hand procedures for injuries";"Hand procedures for injuries";T;2007/05/28;"441"
"442N";"21";"Late treatment of burn";"Late treatment of burn";F;2010/03/09;"442N"
"442O";"21";"Major operation for complication of care, short therapy";"Major operation for complication of care, short therapy";T;2003/05/26;"442O"
"442X";"21";"Other o. r. procedures for injuries w cc";"Other o. r. procedures for injuries w cc";T;1998/11/22;"442"
"443C";"21";"Other o. r. procedures for injuries w cc";"Other o. r. procedures for injuries w cc";F;2010/03/09;"443C"
"443M";"21";"Other o. r. procedures for injuries w mcc";"Other o. r. procedures for injuries w mcc";F;2010/03/09;"443M"
"443N";"21";"Other o. r. procedures for injuries w/o cc";"Other o. r. procedures for injuries w/o cc";F;2010/03/09;"443N"
"443O";"21";"Other o. r. procedures for injuries, short therapy";"Other o. r. procedures for injuries, short therapy";T;2003/05/26;"443O"
"443X";"21";"Other o. r. procedures for injuries w/o cc";"Other o. r. procedures for injuries w/o cc";T;1998/11/22;"443"
"444X";"21";"Traumatic injury, age > 17 w cc";"Traumatic injury, age > 17 w cc";T;1996/12/31;"444"
"445C";"21";"Traumatic injury w cc";"Traumatic injury w cc";F;2010/03/09;"445C"
"445M";"21";"Traumatic injury w mcc";"Traumatic injury w mcc";F;2010/03/09;"445M"
"445N";"21";"Traumatic injury w/o cc";"Traumatic injury w/o cc";F;2010/03/09;"445N"
"445X";"21";"Traumatic injury, age > 17 w/o cc";"Traumatic injury, age > 17 w/o cc";T;1996/12/31;"445"
"446A";"21";"Traumatic injury, age 0-17, w cc";"Traumatic injury, age 0-17, w cc";F;1998/11/23;"446A"
"446B";"21";"Traumatic injury, age 0-17, w/o cc";"Traumatic injury, age 0-17, w/o cc";F;1998/11/23;"446B"
"446X";"21";"Traumatic injury, age 0-17";"Traumatic injury, age 0-17";T;1996/12/31;"446"
"447X";"21";"Allergic reactions, age > 17";"Allergic reactions, age > 17";T;2001/08/16;"447"
"448C";"21";"Allergic reactions with cc";"Allergic reactions with cc";F;2010/05/12;"448C"
"448N";"21";"Allergic reactions w/o cc";"Allergic reactions w/o cc";F;2010/05/12;"448N"
"448X";"21";"Allergic reactions, age 0-17";"Allergic reactions, age 0-17";T;2001/08/16;"448"
"449X";"21";"Poisoning & toxic effects of drugs, age > 17 w cc";"Poisoning & toxic effects of drugs, age > 17 w cc";T;2001/08/16;"449"
"450C";"21";"Poisoning & toxic effects of drugs w cc";"Poisoning & toxic effects of drugs w cc";F;2010/03/09;"450C"
"450M";"21";"Poisoning & toxic effects of drugs w mcc";"Poisoning & toxic effects of drugs w mcc";F;2010/03/09;"450M"
"450N";" 21";"Poisoning & toxic effects of drugs w/o cc";"Poisoning & toxic effects of drugs w/o cc";F;2010/03/09;"450N"
"450X";"21";"Poisoning & toxic effects of drugs, age > 17 w/o cc";"Poisoning & toxic effects of drugs, age > 17 w/o cc";T;2001/08/16;"450"
"451A";"21";"Poisoning & toxic effects of drugs age 0-17, w cc";"Poisoning & toxic effects of drugs age 0-17, w cc";F;1998/11/23;"451A"
"451B";"21";"Poisoning & toxic effects of drugs age 0-17, w/o cc";"Poisoning & toxic effects of drugs age 0-17, w/o cc";F;1998/11/23;"451B"
"451X";"21";"Poisoning & toxic effects of drugs, age 0-17";"Poisoning & toxic effects of drugs, age 0-17";T;1996/12/31;"451"
"452A";"21";"Complications of treatment w surgery w cc";"Complications of treatment w surgery w cc";T;2007/04/22;"452A"
"452B";"21";"Complications of treatment w/o surgery w cc";"Complications of treatment w/o surgery w cc";T;2007/04/22;"452B"
"452C";"21";"Complications of treatment w surgery w cc";"Complications of treatment w surgery w cc";F;2010/03/09;"452C"
"452M";"21";"Complications of treatment w surgery w mcc";"Complications of treatment w surgery w mcc";F;2010/03/09;"452M"
"452N";"21";"Complications of treatment w surgery w/o cc";"Complications of treatment w surgery w/o cc";F;2010/03/09;"452N"
"452X";"21";"Complications of treatment w cc";"Complications of treatment w cc";F;1996/12/31;"452"
"453A";"21";"Complications of treatment w surgery w/o cc";"Complications of treatment w surgery w/o cc";T;2007/04/22;"453A"
"453B";"21";"Complications of treatment w/o surgery w/o cc";"Complications of treatment w/o surgery w/o cc";T;2007/04/22;"453B"
"453C";"21";"Complications of treatment w/o surgery w cc";"Complications of treatment w/o surgery w cc";F;2010/03/09;"453C"
"453M";"21";"Complications of treatment w/o surgery w mcc";"Complications of treatment w/o surgery w mcc";F;2010/03/09;"453M"
"453N";"21";"Complications of treatment w/o surgery w/o cc";"Complications of treatment w/o surgery w/o cc";F;2010/03/09;"453N"
"453X";"21";"Complications of treatment w/o cc";"Complications of treatment w/o cc";F;1996/12/31;"453"
"454C";"21";"Other injury, poisoning & toxic effect diag w cc";"Other injury, poisoning & toxic effect diag w cc";F;2010/03/09;"454C"
"454M";"21";"Other injury, poisoning & toxic effect diag w mcc";"Other injury, poisoning & toxic effect diag w mcc";F;2010/03/09;"454M"
"454X";"21";"Other injury, poisoning & toxic effect diag w cc";"Other injury, poisoning & toxic effect diag w cc";T;1996/12/31;"454"
"455X";"21";"Other injury, poisoning & toxic effect diag w/o cc";"Other injury, poisoning & toxic effect diag w/o cc";T;1996/12/31;"455"
"456X";"22";"Burns transferred to another acute care facility, duration of care less than 6 days";"Burns transf to another ac care fac, dur of care < 6 days";T;2001/05/08;"456"
